Table_Id,City,Place_Fips,Geo_Id,State,State_Fips,Total_Population
100443,Collinsville,16600,16000US0116600,AL,1,2104
100444,Colony,16684,16000US0116684,AL,1,345
100445,Columbia,16744,16000US0116744,AL,1,680
100446,Columbiana,16768,16000US0116768,AL,1,4176
100447,Concord,16936,16000US0116936,AL,1,2044
100448,Coosada,17176,16000US0117176,AL,1,1374
100449,Cordova,17368,16000US0117368,AL,1,2074
100450,Cottondale,17704,16000US0117704,AL,1,3702
100451,Cottonwood,17824,16000US0117824,AL,1,1438
100452,County Line,17968,16000US0117968,AL,1,187
100453,Courtland,18040,16000US0118040,AL,1,592
100454,Cowarts,18088,16000US0118088,AL,1,2071
100455,Creola,18304,16000US0118304,AL,1,1842
100456,Crossville,18856,16000US0118856,AL,1,2312
100457,Cuba,18952,16000US0118952,AL,1,509
100458,Cullman,18976,16000US0118976,AL,1,15014
100459,Cullomburg,19024,16000US0119024,AL,1,117
100460,Cusseta,19216,16000US0119216,AL,1,151
100461,Dadeville,19336,16000US0119336,AL,1,3181
100462,Daleville,19360,16000US0119360,AL,1,5188
100463,Daphne,19648,16000US0119648,AL,1,23559
100464,Dauphin Island,19744,16000US0119744,AL,1,1319
100465,Daviston,19816,16000US0119816,AL,1,271
100466,Dayton,19912,16000US0119912,AL,1,25
100467,Deatsville,20008,16000US0120008,AL,1,1218
100468,Decatur,20104,16000US0120104,AL,1,55598
100469,Deer Park,20152,16000US0120152,AL,1,203
100470,Delta,20272,16000US0120272,AL,1,259
100471,Demopolis,20296,16000US0120296,AL,1,7249
100472,Detroit,20392,16000US0120392,AL,1,215
100473,Dodge City,20955,16000US0120955,AL,1,714
100474,Dora,21136,16000US0121136,AL,1,2295
100475,Dothan,21184,16000US0121184,AL,1,67708
100476,Double Springs,21280,16000US0121280,AL,1,1180
100477,Douglas,21328,16000US0121328,AL,1,1024
100478,Dozier,21448,16000US0121448,AL,1,307
100479,Dunnavant,21890,16000US0121890,AL,1,984
100480,Dutton,21952,16000US0121952,AL,1,331
100481,East Brewton,22216,16000US0122216,AL,1,2508
100482,East Point,22504,16000US0122504,AL,1,151
100483,Eclectic,22816,16000US0122816,AL,1,912
100484,Edgewater,23032,16000US0123032,AL,1,905
100485,Edwardsville,23176,16000US0123176,AL,1,137
100486,Egypt,23224,16000US0123224,AL,1,1254
100487,Elba,23296,16000US0123296,AL,1,3919
100488,Elberta,23320,16000US0123320,AL,1,1506
100489,Eldridge,23344,16000US0123344,AL,1,204
100490,Elkmont,23488,16000US0123488,AL,1,430
100491,Elmore,23656,16000US0123656,AL,1,1671
100492,Emelle,23872,16000US0123872,AL,1,38
100493,Emerald Mountain,23880,16000US0123880,AL,1,2895
100494,Enterprise,24184,16000US0124184,AL,1,27785
100495,Epes,24256,16000US0124256,AL,1,137
100496,Ethelsville,24472,16000US0124472,AL,1,99
100497,Eufaula,24568,16000US0124568,AL,1,12809
100498,Eunola,24616,16000US0124616,AL,1,421
100499,Eutaw,24664,16000US0124664,AL,1,2834
100500,Eva,24688,16000US0124688,AL,1,552
100501,Evergreen,24808,16000US0124808,AL,1,3842
100502,Excel,24880,16000US0124880,AL,1,1019
100503,Fairfield,25120,16000US0125120,AL,1,10987
100504,Fairford,25216,16000US0125216,AL,1,85
100505,Fairhope,25240,16000US0125240,AL,1,17309
100506,Fairview,25384,16000US0125384,AL,1,483
100507,Falkville,25648,16000US0125648,AL,1,1226
100508,Faunsdale,25816,16000US0125816,AL,1,53
100509,Fayette,25840,16000US0125840,AL,1,4523
100510,Fayetteville,25864,16000US0125864,AL,1,1257
100511,Fitzpatrick,26152,16000US0126152,AL,1,84
100512,Five Points,26200,16000US0126200,AL,1,181
100513,Flomaton,26824,16000US0126824,AL,1,1670
100514,Florala,26848,16000US0126848,AL,1,1863
100515,Florence,26896,16000US0126896,AL,1,39855
100516,Foley,26992,16000US0126992,AL,1,16345
100517,Forestdale,27088,16000US0127088,AL,1,9716
100518,Forkland,27376,16000US0127376,AL,1,767
100519,Fort Deposit,27520,16000US0127520,AL,1,1482
100520,Fort Payne,27616,16000US0127616,AL,1,14112
100521,Fort Rucker,27640,16000US0127640,AL,1,4895
100522,Franklin,28024,16000US0128024,AL,1,243
